Worker,Continuity
163889,102
280391,79
1035680,77
683192,73
967376,69
826358,64
901757,62
1026944,62
1026977,61
902033,57
160139,55
473315,54
668351,52
1026986,50
976643,50
766235,49
846335,46
592253,46
811100,45
882860,44
1025732,44
895604,44
224345,43
501029,42
1002929,42
850196,41
541295,40
105224,40
1101962,40
953435,39
875618,39
775787,39
198500,39
731513,39
801950,39
1008983,38
1036415,38
240791,37
279242,36
1054643,36
1012202,35
50450,35
923924,35
824393,34
798104,34
910424,34
223991,33
1003451,33
997358,33
866648,33
1097525,32
729440,32
930317,31
859988,31
968243,31
761984,30
538328,30
977501,30
93752,30
1085447,30
609404,30
281669,29
174560,29
1001864,29
993803,29
770591,29
897830,29
397859,29
9455,29
332630,28
151898,28
164972,28
942002,28
989009,28
170942,28
1009295,27
215963,27
530582,27
915995,26
745928,26
1026344,26
874181,26
1014767,26
902471,25
223220,25
218636,25
227870,25
800933,25
518102,25
994937,24
1008023,24
798218,24
18878,24
749513,24
837302,24
493901,24
132551,24
814559,24
901484,23
860528,23
741998,23
1003613,23
979196,23
799634,23
744587,23
820475,23
807056,23
1048736,23
840704,22
996770,22
977456,22
787325,22
1002491,21
594932,21
984557,21
981011,21
875519,21
1004087,21
475178,21
429149,21
995471,21
314759,21
726587,21
1018346,21
751448,21
1003448,21
797393,21
842471,21
603179,21
994091,21
948269,21
535691,21
777086,20
927614,20
983720,20
1001759,20
746078,20
182849,20
798452,20
829490,20
1003445,20
953687,20
807017,20
1001579,20
930878,19
1113020,19
76169,19
839642,19
1012904,19
3929,19
1049285,19
979067,19
912335,19
998285,19
798881,19
749759,19
531731,19
924158,19
801941,19
903233,18
859685,18
676916,18
888491,18
212120,18
877433,18
352622,18
1002257,18
895307,18
807995,18
168179,17
320708,17
753839,17
70121,17
487637,17
1113437,17
733328,17
705302,17
155453,17
679421,17
867581,17
960542,17
974822,17
981266,17
967997,17
509366,16
435599,16
239495,16
257453,16
169208,16
734993,16
969026,16
999113,16
951413,16
530873,16
711323,16
853094,16
660986,16
953627,16
986849,16
373481,16
984458,16
975884,16
1005035,16
926879,15
995453,15
753164,15
982859,15
1010795,15
640361,15
763964,15
1014449,15
450659,15
1019705,15
434897,15
880727,15
980939,15
1010948,15
873443,15
961790,15
978248,15
1005551,14
1119119,14
755885,14
977894,14
415952,14
340091,14
407687,14
754598,14
1003763,14
269363,14
977717,14
907331,14
643787,14
771065,14
849089,14
995540,13
330614,13
852206,13
976442,13
706325,13
968171,13
756878,12
1069925,12
668582,12
690734,12
374816,12
688316,12
302453,12
54497,12
253256,12
1027010,12
840074,12
509393,12
908468,11
976679,11
689951,11
205241,11
920186,11
664787,11
200114,11
898160,11
261341,11
911693,11
457589,11
929345,11
364703,11
151808,11
629450,11
85229,11
710597,11
994991,11
811733,11
999464,11
988574,11
1005182,11
1010717,11
892271,11
984776,11
373679,11
875681,11
977453,11
798515,11
976064,11
937151,11
861542,11
733679,11
1003685,11
745637,11
62822,11
869564,11
741278,10
891767,10
695987,10
993614,10
319883,10
988505,10
856772,10
819857,10
847277,10
819602,10
964781,10
977678,10
989813,10
1008068,10
475700,10
992822,10
1012166,10
1002041,10
790457,10
743213,10
287309,10
326102,10
525944,10
114371,10
549803,10
690419,9
984479,9
680621,9
927590,9
774725,9
995120,9
1015766,9
977765,9
752879,9
1003934,9
987710,9
966299,9
481733,9
1011371,9
966284,9
643814,9
1012997,9
246815,9
901505,9
200483,9
405353,9
340448,9
555017,9
916865,9
662054,9
827069,8
1026809,8
264269,8
966293,8
966083,8
703895,8
933044,8
872174,8
793070,8
453461,8
979985,8
1000913,8
1007102,8
374615,8
467666,8
1005728,8
843569,8
485264,8
576653,8
959687,8
418415,8
758387,8
990410,8
1028027,8
1082303,8
1024886,8
647828,8
947312,8
272390,8
855884,8
96512,8
485789,8
729326,8
596675,8
679808,8
