Worker,Continuity
163889,102
280391,80
1035680,77
1026944,63
901757,63
1026977,62
902033,58
473315,54
976643,51
1026986,51
826358,50
592253,47
846335,47
811100,46
1025732,45
882860,45
1002929,43
501029,43
198500,40
801950,40
1101962,40
731513,40
953435,40
875618,40
775787,40
1008983,39
240791,38
279242,37
1012202,36
50450,36
910424,35
541295,35
223991,34
1003451,34
866648,34
729440,33
859988,32
1097525,32
930317,32
968243,32
761984,31
609404,31
977501,31
538328,31
93752,31
281669,30
397859,30
897830,30
174560,30
1085447,30
942002,29
164972,29
967376,29
170942,29
332630,29
151898,29
989009,29
1009295,28
530582,28
874181,27
1026344,27
745928,27
1014767,27
923924,26
766235,26
227870,26
902471,26
518102,26
837302,25
749513,25
18878,25
994937,25
798218,25
814559,25
1008023,25
132551,25
860528,24
741998,24
1003613,24
820475,24
1048736,24
799634,24
218636,24
979196,24
744587,24
807056,24
977456,23
840704,23
787325,23
875519,22
1002491,22
594932,22
984557,22
751448,22
475178,22
1003448,22
842471,22
1004087,22
948269,22
797393,22
535691,22
314759,22
994091,22
726587,22
995471,22
981011,22
429149,22
1018346,22
603179,22
746078,21
927614,21
983720,21
1001759,21
1003445,21
683192,21
798452,21
1001579,21
3929,20
998285,20
930878,20
850196,20
801941,20
997358,20
798881,20
993803,20
76169,20
749759,20
1012904,20
915995,19
859685,19
224345,19
352622,19
1002257,19
807995,19
1049285,19
676916,19
1113020,19
903233,19
877433,19
888491,19
493901,18
679421,18
967997,18
320708,18
867581,18
753839,18
981266,18
1113437,17
660986,17
984458,17
1005035,17
953627,17
969026,17
257453,17
951413,17
999113,17
711323,17
509366,17
1019705,16
434897,16
926879,16
995453,16
753164,16
978248,16
1010795,16
974822,16
873443,16
880727,16
1014449,16
982859,16
961790,16
763964,16
980939,16
1010948,16
269363,15
1005551,15
734993,15
1003763,15
839642,15
754598,15
105224,15
853094,15
223220,15
643787,15
415952,15
852206,14
706325,14
976442,14
977717,14
330614,14
968171,14
1119119,14
302453,13
690734,13
253256,13
54497,13
1027010,13
895307,13
840074,13
668582,13
531731,13
953687,13
977453,12
811733,12
205241,12
1069925,12
373679,12
1010717,12
1005182,12
920186,12
733679,12
975884,12
457589,12
984776,12
929345,12
151808,12
999464,12
62822,12
85229,12
892271,12
988574,12
364703,12
911693,12
976064,12
861542,12
937151,12
745637,12
1003685,12
688316,12
435599,12
960542,12
875681,12
976679,12
807017,12
869564,12
993614,11
977894,11
549803,11
964781,11
182849,11
114371,11
856772,11
1002041,11
847277,11
819602,11
287309,11
790457,11
326102,11
743213,11
1012166,11
992822,11
1008068,11
988505,11
824393,11
977678,11
525944,11
891767,11
987710,10
1011371,10
200483,10
1015766,10
1003934,10
555017,10
995540,10
829490,10
169208,10
340448,10
1012997,10
798104,10
995120,10
916865,10
643814,10
680621,10
984479,10
966299,10
924158,10
774725,10
966284,10
752879,10
901484,10
827069,9
966293,9
758387,9
1007102,9
1005728,9
959687,9
990410,9
1024886,9
596675,9
467666,9
1028027,9
679808,9
418415,9
843569,9
979985,9
374615,9
966083,9
793070,9
1003076,9
485789,9
576653,9
1082303,9
1027181,9
530873,9
756878,9
481733,8
998204,8
116552,8
155453,8
743666,8
1002359,8
890516,8
901505,8
1017275,8
921713,8
1018682,8
318917,8
194294,8
976859,8
744449,8
710597,8
746369,8
995384,8
878642,8
689951,8
509393,8
1084970,8
771065,8
885176,8
980822,8
803474,8
662054,8
933044,8
686414,8
703895,8
722648,8
947255,8
986039,8
928052,8
1018466,8
640508,8
484067,7
1109636,7
421394,7
998798,7
784667,7
875168,7
751052,7
927590,7
405353,7
750641,7
981026,7
984944,7
417824,7
968018,7
695987,7
987725,7
947312,7
1001573,7
977900,7
895511,7
823976,7
987692,7
481088,7
1001810,7
987854,7
855884,7
984890,7
846521,7
1005701,7
1018745,7
989099,7
482489,6
1000913,6
257141,6
978224,6
861494,6
1004477,6
992591,6
31814,6
212120,6
443783,6
272390,6
9455,6
1113605,6
943529,6
988688,6
976373,6
200114,6
318464,6
801785,6
786563,6
345731,6
881453,6
983468,6
896999,6
800933,6
668351,6
647852,6
923405,6
797351,6
503852,6
647828,6
860663,6
941801,6
159440,6
989813,6
438380,6
304946,6
726713,6
97910,6
386942,6
690419,6
852767,6
806723,6
96512,6
866693,6
600638,5
999344,5
981302,5
1004753,5
996281,5
1017539,5
664787,5
733328,5
713201,5
749387,5
261341,5
924155,5
872363,5
1019810,5
1017251,5
783593,5
997634,5
601568,5
239495,5
1012064,5
741278,5
798515,5
749363,5
729326,5
868580,5
1001690,5
487637,5
1114013,5
486551,5
988958,5
319883,5
976820,5
937400,5
372896,5
934943,5
246815,5
160118,5
938453,5
503963,5
755885,5
209309,5
1000727,5
898307,5
754388,5
448484,5
1035128,5
855692,5
977765,5
285539,5
212942,5
1103390,5
928661,5
891524,5
531773,5
1022876,5
815855,5
1019435,5
473894,5
333830,5
992027,5
1133372,5
998009,5
878885,4
1008245,4
100796,4
985286,4
483764,4
976400,4
411197,4
485264,4
984665,4
538634,4
927026,4
863549,4
922001,4
1115249,4
792095,4
465725,4
131309,4
1005815,4
373481,4
997982,4
998156,4
844664,4
994991,4
384470,4
407687,4
544229,4
853946,4
711188,4
779633,4
437153,4
995465,4
978347,4
988376,4
450659,4
215171,4
988400,4
591209,4
995963,4
920141,4
984407,4
1000667,4
141605,4
646340,4
746969,4
115355,4
839324,4
1006277,4
777086,4
16427,4
1000643,4
936035,3
979067,3
999263,3
456611,3
974162,3
1011965,3
1011764,3
151421,3
927803,3
664853,3
217073,3
288650,3
151469,3
775391,3
464258,3
994610,3
1017842,3
694250,3
1015463,3
981293,3
997199,3
929246,3
126734,3
1018583,3
1009412,3
334850,3
629450,3
981482,3
288227,3
748025,3
200348,3
651776,3
2951,3
920288,3
770591,3
304850,3
912335,3
819857,3
1002116,3
218060,3
459314,3
475700,3
929465,3
935600,3
195191,3
1002356,3
891932,3
749366,3
1008038,3
294005,3
249674,3
898160,3
986549,3
106847,3
758150,3
822365,3
3539,3
955478,3
934301,3
212432,3
1002398,3
115118,3
1014188,3
1135328,3
754106,3
980504,2
95885,2
999368,2
496973,2
847460,2
872057,2
742961,2
1023977,2
120491,2
996695,2
378413,2
1007114,2
232991,2
1015454,2
994841,2
87371,2
679571,2
890201,2
999404,2
872174,2
976556,2
1001162,2
614219,2
990626,2
999275,2
1007432,2
320960,2
853814,2
1025948,2
341795,2
1027466,2
989087,2
843143,2
993053,2
591776,2
911132,2
943577,2
786188,2
200615,2
978692,2
1019633,2
253307,2
497387,2
566765,2
986849,2
1082867,2
640361,2
226889,2
428036,2
999971,2
854444,2
1009886,2
678908,2
160139,2
514259,2
995726,2
930533,2
996386,2
504545,2
787505,2
826418,2
987296,2
947270,2
506957,2
408668,2
589970,2
986207,2
725135,2
926114,2
496751,2
991925,2
258476,2
254180,2
1018088,2
996107,2
1002329,2
387392,2
143687,2
1004366,2
840509,2
230225,2
411986,2
760658,2
291167,2
987440,2
748382,2
1016045,2
977252,2
641312,2
113513,2
1024874,2
749843,2
832298,2
215963,2
705302,2
637913,2
1008767,2
889241,2
70121,2
242156,2
984287,2
959054,2
289256,2
683147,2
936515,2
859391,2
811568,2
998672,2
388370,2
1005587,2
957653,2
748079,2
449012,2
738599,2
981542,2
1015082,2
758276,2
685373,2
107840,2
453953,2
294110,2
659777,2
449693,2
893555,2
264269,2
921698,2
895604,2
451727,2
752795,2
963032,2
907331,2
979397,2
756338,2
365051,1
890702,1
186182,1
129494,1
981344,1
304931,1
1120604,1
684380,1
278876,1
986864,1
1122773,1
1012178,1
821705,1
659882,1
952805,1
911765,1
1081709,1
1028489,1
976646,1
825824,1
1001864,1
756203,1
1010066,1
739703,1
876905,1
728897,1
628481,1
941885,1
1012115,1
1023734,1
997181,1
256361,1
509705,1
919985,1
734531,1
1020221,1
1048607,1
1036415,1
340091,1
493493,1
995429,1
1054643,1
999503,1
985019,1
714827,1
487499,1
311369,1
974912,1
970808,1
1019948,1
997418,1
124964,1
788306,1
942113,1
845858,1
983012,1
374816,1
796703,1
159773,1
243740,1
976874,1
882707,1
452627,1
892943,1
794639,1
923660,1
591863,1
481202,1
196739,1
634799,1
796811,1
790355,1
985397,1
284501,1
952148,1
977204,1
727337,1
1018151,1
286556,1
1075484,1
1018127,1
909572,1
383495,1
985334,1
812921,1
982907,1
381173,1
168179,1
841967,1
999302,1
927959,1
934091,1
1102016,1
321440,1
327584,1
628892,1
772004,1
995480,1
995240,1
987278,1
911618,1
309884,1
1016336,1
486425,1
504959,1
58487,1
1017266,1
187502,1
685496,1
1010786,1
1016921,1
459869,1
1004633,1
986573,1
1007054,1
1029188,1
976340,1
279584,1
723986,1
230531,1
816137,1
433160,1
975863,1
326642,1
273389,1
590825,1
931310,1
934874,1
736208,1
779213,1
314300,1
664496,1
779177,1
813977,1
1162367,1
517262,1
68495,1
498914,1
1097003,1
849191,1
830801,1
224594,1
3368,1
265511,1
808211,1
670997,1
716036,1
470276,1
953594,1
716021,1
118001,1
169196,1
988529,1
996770,1
890057,1
242882,1
849089,1
455870,1
908468,1
978089,1
988325,1
984467,1
629915,1
910748,1
488603,1
937112,1
214166,1
554402,1
244625,1
576392,1
1754,1
711293,1
735974,1
295646,1
